Ant,Iterations,beta,rho,Backup,Candidate,MNE,LS,LS Candidate
320,5000,1,0.5,64,16,8,1,20
Algorithm,faco,Runs,10
Instance,Mean Cost,Min Cost,Max Cost,STDEV,Mean Error,Min Error,Max Error,Mean Time
instances/pla7397.tsp,23378939,23344352,23412181,22000,0.508201,0.359507,0.65111,16.2053
instances/rl11849.tsp,928887,927462,931546,1237.67,0.606463,0.45208,0.894412,32.3279
instances/d15112.tsp,1581556,1580735,1582608,626.35,0.538604,0.486369,0.605435,39.042
instances/usa13509.tsp,20091596,20079173,20111258,9519,0.544154,0.481983,0.642546,28.397
