Ant,Iterations,beta,rho,Backup,Candidate,MNE,LS,LS Candidate
320,5000,1,0.5,64,16,8,1,20
Algorithm,flaco,Runs,10
Instance,Mean Cost,Min Cost,Max Cost,STDEV,Mean Error,Min Error,Max Error,Mean Time
instances/pla7397.tsp,23417802,23378120,23471246,29578.4,0.675279,0.504679,0.905036,25.8826
instances/rl11849.tsp,928924,927789,930581,796.233,0.610449,0.487497,0.789894,39.0674
instances/d15112.tsp,1582991,1582064,1583646,492.605,0.629839,0.570853,0.67142,52.6016
instances/usa13509.tsp,20108732,20089457,20125858,10560.4,0.629908,0.533447,0.715608,34.6662
